Episode,Title,Source,Month,Colors,Subjects
S06E13,Blaze of Color,https://www.youtube.com/embed/se7wOprxRGs,July,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Conifer','Deciduous','Grass','Hills','River','Tree','Trees']"
S07E01,Winter Cabin,https://www.youtube.com/embed/kdlHV6ceI_gw,October,"['Bright Red','Dark Sienna','Prussian Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Clouds','Deciduous','Snow','Structure','Tree','Winter']"
S07E02,Secluded Lake,https://www.youtube.com/embed/2OxSJcFvpoU,October,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Deciduous','Grass','Lake','Rocks','Tree','Trees']"
S07E03,Evergreens at Sunset,https://www.youtube.com/embed/YQPEy3hYGo8,October,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Indian Yellow','Midnight Black','Sap Green','Titanium White']","['Cirrus','Clouds','Conifer','Deciduous','River','Sun','Tree','Trees']"
S07E04,Mountain Cabin,https://www.youtube.com/embed/E3IAMvO8GyM,October,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Clouds','Conifer','Cumulus','Deciduous','Mountain','Mountains','River','Snowy Mountain','Structure','Tree','Trees']"
S07E05,Portrait of Sally,https://www.youtube.com/embed/MHJB0IBnuD4,October,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Phthalo Blue','Titanium White','Yellow Ochre']","['Guest','Portrait']"
S07E06,Misty Waterfall,https://www.youtube.com/embed/530_cVmexiI,November,"['Alizarin Crimson','Bright Red','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Cumulus','Deciduous','Lake','River','Tree','Trees','Waterfall']"
S07E07,Barn at Sunset,https://www.youtube.com/embed/WT6n0K2zGnA,November,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Barn','Clouds','Cumulus','Deciduous','Path','Snow','Structure','Tree','Trees']"
S07E08,Mountain Splendor,https://www.youtube.com/embed/GhOGZMpPUSE,November,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Deciduous','Mountain','River','Snowy Mountain','Tree','Trees']"
S07E09,Lake by Mountain,https://www.youtube.com/embed/yAiYirlcq7o,November,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Cumulus','Deciduous','Guest','Lake','Mountain','Snowy Mountain','Steve Ross','Tree','Trees']"
S07E10,Mountain Glory,https://www.youtube.com/embed/0M9pwLHRR2c,December,"['Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Conifer','Grass','Mountain','Mountains','Snowy Mountain','Tree','Trees']"
S07E11,Grey Winter,https://www.youtube.com/embed/sS-hNYgDUak,December,"['Alizarin Crimson','Midnight Black','Titanium White']","['Bushes','Clouds','Lake','Snow','Tree','Trees','Winter']"
S07E12,Dock Scene,https://www.youtube.com/embed/4KYxkqlzyqM,December,"['Bright Red','Cadmium Yellow','Dark Sienna','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Boat','Clouds','Cumulus','Deciduous','Dock','Lake','Structure','Tree']"
S07E13,Dark Waterfall,https://www.youtube.com/embed/VqMbL00eZqw,December,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Liquid Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Deciduous','River','Tree','Trees','Waterfall']"
S08E01,Misty Rolling Hills,https://www.youtube.com/embed/cC5ozePVKGI,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Conifer','Fog','Grass','Mountain','Mountains','Tree','Trees']"
S08E02,Lakeside Cabin,https://www.youtube.com/embed/CP6_5cQVZvQ,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Cabin','Circle Frame','Clouds','Deciduous','Framed','Grass','Lake','Structure','Tree','Trees']"
S08E03,Warm Winter Day,https://www.youtube.com/embed/mUJoNLWQ1yI,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cabin','Deciduous','Grass','Snow','Structure','Sun','Tree','Trees','Winter']"
S08E04,Waterside Way,https://www.youtube.com/embed/uj5FE70BcB0,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Dark Sienna','Indian Yellow','Midnight Black','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Deciduous','Grass','Lake','Path','Rocks','Tree','Trees']"
